title,original_title,budget,Genre,language,spoken_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
"Pamela, A Love Story","Pamela, A Love Story",0,Documentary,en,English,https://www.netflix.com/title/81590934,"In her own words, through personal video and diaries, Pamela Anderson shares the story of her rise to fame, rocky romances and infamous sex tape scandal.",11.041,113,0,2023-01-30,7.0,209,United States of America,,,,,,,,,,,,,,,
In from the Side,In from the Side,0,"Drama, Romance",en,English,http://www.infromthesidemovie.com,"Mark, a new and inexperienced rugby club member, finds himself drawn to Warren, a seasoned first team player. When a series of happenstances at an away fixture lead to a drunken encounter, Mark and Warren unwittingly embark on a romantic affair they struggle to hide from their partners and teammates.",13.901,134,52885,2022-09-16,6.8,62,United Kingdom,,,,,,,,,,,,,,,
After Love,After Love,0,Drama,en,"English, Arabic, French, Urdu",,"Set in the port town of Dover in the South-East of England, Mary Hussain suddenly finds herself a widow following the unexpected death of her husband. A day after the burial, she discovers he has a secret just twenty-one miles across the English Channel in Calais.",8.834,89,0,2021-06-04,7.165,124,United Kingdom,https://www.nytimes.com/2023/01/19/movies/after-love-review.html,"In this intelligent melodrama by the director Aleem Khan, a British woman discovers her husband has been leading a double life.",The New York Times,"subject:Movies;creative_works:After Love (2020) (Movie);persons:Khan, Aleem;persons:Scanlan, Joanna (1961- );",2023-01-19T12:00:06+0000,359.0,‘After Love’ Review: The Other Woman,Critic’s Pick,,After Love,,,,By Beatrice Loayza,
After Love,After Love,0,Drama,en,"English, Arabic, French, Urdu",,"Set in the port town of Dover in the South-East of England, Mary Hussain suddenly finds herself a widow following the unexpected death of her husband. A day after the burial, she discovers he has a secret just twenty-one miles across the English Channel in Calais.",8.834,89,0,2021-06-04,7.165,124,United Kingdom,https://www.nytimes.com/2017/08/08/movies/after-love-review.html,"A couple break up, but remain together, frustratingly, because of the husband’s financial woes.",The New York Times,"subject:Movies;creative_works:After Love (Movie);persons:Lafosse, Joachim;persons:Bejo, Berenice;persons:Kahn, Cedric;",2017-08-08T19:17:54+0000,274.0,Review: Staying Together ‘After Love’ and Regretting Every Moment,,,After Love,,,,By Glenn Kenny,
Alcarràs,Alcarràs,3,Drama,ca,Catalan,https://www.alcarras-film.com/,"In a small village in Catalonia, the peach farmers of the Solé family spend every summer together picking fruit from their orchard. But when plans arise to install solar panels and cut down trees, the members of this tight-knit group suddenly face eviction – and the loss of far more than their home.",23.591,115,2,2022-04-29,6.87,184,Spain,https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,"In this naturalistic drama from Spain, a family confronts the impending loss of its generations-old farm.",The New York Times,"subject:Movies;persons:Simon, Carla;creative_works:Alcarras (Movie);",2023-01-05T12:00:03+0000,306.0,‘Alcarràs’ Review: Labor of Love,,,Alcarràs,,,,By Devika Girish,
Nelly and Monsieur Arnaud,Nelly et Mr. Arnaud,0,"Drama, Romance",fr,French,,"Nelly leaves her lazy, unemployed husband to work for retired judge Mr Arnaud, forty years her senior, after he offers to clear her bills for her. While she types his memoirs the two develop a close friendship, but Arnaud becomes jealous when Nelly begins dating his good-looking young publisher.",15.967,106,0,1995-08-23,6.888,121,"Germany, France, Italy",,,,,,,,,,,,,,,
Lady Chatterley's Lover,Lady Chatterley's Lover,0,"Drama, Romance",en,English,https://www.netflix.com/title/81476441,Unhappily married aristocrat Lady Chatterley begins a torrid affair — and falls deeply in love — with the gamekeeper on her husband's country estate.,39.12,126,0,2022-11-22,6.658,399,"United Kingdom, United States of America",https://www.nytimes.com/2022/12/01/movies/lady-chatterleys-lover-review.html,The new Netflix adaptation of D.H. Lawrence’s once-controversial novel is both steamy and decorous.,The New York Times,"subject:Movies;creative_works:Lady Chatterley's Lover (Movie);persons:Corrin, Emma (1995- );persons:De Clermont-Tonnerre, Laure;persons:Lawrence, D H;",2022-12-01T16:40:55+0000,768.0,‘Lady Chatterley’s Lover’ Review: When Connie Met Ollie,,,A Love Whose Name Is Often Spoken,,,,By A.O. Scott,
The Sound of Christmas,The Sound of Christmas,0,"TV Movie, Drama",en,English,,A woman facing eviction just before Christmas who must navigate budding romantic feelings for a handsome billionaire when she takes a job nannying for his two children right before Christmas.,3.252,0,0,2022-11-24,8.0,4,United States of America,https://www.nytimes.com/2022/11/23/movies/sound-of-christmas-review.html,A young singer gets more than she bargained for when she accepts a job as a nanny for a billionaire’s children.,The New York Times,"subject:Movies;persons:Ne-Yo;creative_works:The Sound of Christmas (Movie);persons:Mattison, Booker T;persons:McNeill, Serayah;",2022-11-23T15:00:09+0000,277.0,‘The Sound of Christmas’ Review: A Gospel Singer Finds Love,,,The Sound  Of Christmas,,,,By Concepción de León,
The Inspection,The Inspection,0,Drama,en,"Arabic, Spanish, English",https://a24films.com/films/inspection,"Ellis French is a young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside. But even as he battles deep-seated prejudice and the grueling routines of basic training, he finds unexpected camaraderie, strength, and support in this new community, giving him a hard-earned sense of belonging that will shape his identity and forever change his life.",22.312,95,270613,2022-11-18,6.1,58,United States of America,https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,"Elegance Bratton’s autobiographical first feature is a lyrical, wrenching look at a young Marine’s journey through basic training.",The New York Times,"subject:Movies;creative_works:The Inspection (Movie);persons:Bratton, Elegance;",2022-11-17T12:00:07+0000,836.0,"‘The Inspection’ Review: Boot Camp, a Love Story",critic’s pick,,"A Few Good Men, Some With Secrets",,,,By A.O. Scott,
Bones and All,Bones and All,16000000,"Drama, Horror, Romance",en,English,https://www.bonesandallfilm.net/,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",42.885,131,15234907,2022-11-18,7.1,1276,"Italy, United States of America",https://www.nytimes.com/2022/11/17/movies/bones-and-all-review.html,Luca Guadagnino’s latest stars Timothée Chalamet and Taylor Russell as young cannibals on the run.,The New York Times,"subject:Movies;creative_works:Bones and All (Movie);persons:Guadagnino, Luca;persons:Chalamet, Timothee (1995- );persons:Russell, Taylor (1994- );",2022-11-17T12:00:06+0000,710.0,‘Bones and All’ Review: You Eat What You Are,,,"It’s Eat, Prey, Love on a Journey of Self-Discovery",,,,By A.O. Scott,
My Policeman,My Policeman,0,"Drama, Romance",en,English,https://www.amazon.com/dp/B09Y8SHDPD,"In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",37.269,113,0,2022-10-20,7.702,652,"United Kingdom, United States of America",https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,"A schoolteacher, her police officer husband and his lover deny each other romantic satisfaction in this dismal melodrama.",The New York Times,"subject:Movies;creative_works:My Policeman (Movie);persons:Grandage, Michael;",2022-10-20T16:52:51+0000,303.0,"‘My Policeman’ Review: Two Love Affairs, Equally Tragic",,,My Policeman,,,,By Teo Bugbee,
About Fate,About Fate,0,"Romance, Comedy",en,English,,"Two strangers believe in love but never seem to be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on one stormy New Year's Eve.",32.289,100,0,2022-09-08,7.45,370,United States of America,https://www.nytimes.com/2022/09/08/movies/about-fate-review.html,"Thomas Mann’s beguiling performance drives this Emma Roberts vehicle, but the romantic comedy creaks under the weight of its coincidences.",The New York Times,"subject:Movies;creative_works:About Fate (Movie);persons:Vaysberg, Marius;persons:Mann, Thomas (1991- );persons:Roberts, Emma (1991- );",2022-09-09T01:00:03+0000,289.0,‘About Fate’ Review: Love the One You’re With?,,,About Fate,,,,By Lisa Kennedy,
Waiting for Bojangles,En attendant Bojangles,0,"Drama, Comedy, Romance",fr,"English, French, Spanish",,"A boy and his eccentric parents leave their home in Paris for a country house in Spain. As the mother descends deeper into her own mind, it's up to the boy and his father to keep her safe and happy.",18.679,124,0,2021-10-13,7.388,307,"Belgium, France",https://www.nytimes.com/2022/09/01/movies/waiting-for-bojangles-review-endless-love.html,"Set in Paris in the 1960s, the film tells the story of two irrepressible lovers, and their young son, whose tale turns tragic.",The New York Times,"subject:Movies;persons:Bourdeaut, Olivier;creative_works:Waiting for Bojangles (Movie);persons:Roinsard, Regis;",2022-09-01T11:00:06+0000,267.0,‘Waiting for Bojangles’ Review: Endless Love,,,Waiting for Bojangles,,,,By Calum Marsh,
I Love My Dad,I Love My Dad,0,Comedy,en,English,http://www.magpictures.com/ilovemydad/,A hopelessly estranged father catfishes his son in an attempt to reconnect.,10.427,90,0,2022-08-05,5.8,43,United States of America,https://www.nytimes.com/2022/08/04/movies/i-love-my-dad-review.html,This comedy is a daddy-issues movie with a queasy premise truly made for these times.,The New York Times,"subject:Movies;persons:Oswalt, Patton;creative_works:I Love My Dad (Movie);persons:Morosini, James;",2022-08-04T11:00:05+0000,418.0,‘I Love My Dad’ Review: A Father Catfishes His Son,,,A Father Catfishes His Son. We Just Wait for the Ick.,,,,By Glenn Kenny,
A Love Song,A Love Song,0,"Drama, Romance",en,"English, Spanish",,"Two childhood sweethearts, now both widowed, share a night by a lake in the mountains.",13.104,81,278562,2022-07-29,6.816,38,United States of America,https://www.nytimes.com/2022/07/28/movies/a-love-song-review.html,Two former childhood friends rekindle their connection in this sweetly hopeful story of romantic longing.,The New York Times,"subject:Movies;creative_works:A Love Song (Movie);persons:Walker-Silverman, Max;persons:Dickey, Dale (Actor);persons:STUDI, WES;",2022-07-28T11:00:06+0000,395.0,‘A Love Song’ Review: When Moving Forward Means Looking Back,Critic’s Pick,,The Romantic Ache That Never Truly Dies,,,,By Jeannette Catsoulis,
Alone Together,Alone Together,0,"Romance, Drama",en,English,,"Strangers June and Charlie wind up double-booked in the same upstate New York Airbnb during the start of COVID-19. Exasperating the situation, the lockdown forces them both to stay and confront the unexpected feelings that develop between them.",15.562,101,0,2022-07-22,5.148,44,United States of America,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"subject:Movies;persons:Holmes, Katie;creative_works:Alone Together (Movie);",2022-07-21T15:37:18+0000,254.0,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,,,Alone Together,,,,By Teo Bugbee,
Art of Love,Romantik Hırsız,0,"Romance, Action, Drama",tr,Turkish,https://www.netflix.com/title/81689799,"After learning that the art thief she has been chasing is her ex-lover, an officer working for Interpol concocts a plan to catch him red-handed.",80.306,99,0,2024-03-13,6.423,117,Turkey,https://www.nytimes.com/2022/07/21/movies/art-of-love-review.html,"A disillusioned college professor develops a relationship with a young Chinese woman, in a familiar and worn-out narrative.",The New York Times,"subject:Movies;creative_works:Art of Love (Movie);persons:Kaplan, Betty (Film Director);",2022-07-21T13:21:43+0000,354.0,‘Art of Love’ Review: An Erotic Male Fantasy in Puerto Rico,,,Art of Love,,,,By Concepción de León,
2099: The Soldier Protocol,The Wheel,0,"Action, Science Fiction",en,English,https://www.thewheelmovie.com/,"Sometime in the near future, paraplegic prison inmate Matt Mills meets ""The Board"" of Satoshi-Telefair Industries, who thank him for joining the Program. Under pressure and with a promise to make him walk again, Mills agrees to volunteer. He is injected with a synthetic nanomaterial and suffocated, only to wake up with restored use of his legs, yet alone in a steel cell in the first spoke of an experimental apparatus - The Wheel. A series of assailants inflict a multitude of damage to Mills' body and torment his mind, yet the synthetic nanomaterial not only restores his damaged organs, it re-engineers his strength. The experiment might be designed to kill, but Mills is determined to survive - and get back to his daughter before The Board finds her first.",7.181,82,0,2019-09-02,5.0,13,Australia,,,,,,,,,,,,,,,
Thor: Love and Thunder,Thor: Love and Thunder,250000000,"Fantasy, Action, Comedy",en,English,https://www.marvel.com/movies/thor-love-and-thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",149.322,119,760900000,2022-07-06,6.5,7313,United States of America,https://www.nytimes.com/2022/07/07/movies/thor-love-and-thunder-review.html,"The director Taika Waititi injects antic silliness, once again, into this Marvel franchise starring Chris Hemsworth, who swings a mighty hammer and flexes mightier muscles.",The New York Times,"subject:Movies;organizations:Marvel Studios;persons:Bale, Christian;persons:Crowe, Russell;persons:Hemsworth, Chris;persons:Waititi, Taika;persons:Thompson, Tessa;persons:Portman, Natalie;",2022-07-07T18:26:10+0000,942.0,‘Thor: Love and Thunder’ Review: A God’s Comic Twilight,,,"He’s Still a Norse God, But Also a Big Old Goof",,,,By Manohla Dargis,
Both Sides of the Blade,Avec amour et acharnement,0,"Drama, Romance",fr,French,https://www.bothsidesoftheblade.com/,"Jean and Sara have been living together for 10 years. When they first met, Sara was living with François, Jean’s best friend and an admirer from back when he played rugby. Jean and Sara love each other. One day, Sara sees François in the street. He does not notice her, but she is overtaken by the sensation that her life could suddenly change. François gets back in touch with Jean. For the first time in years. He suggests they start working together again. From here on, things spiral out of control.",13.516,117,1747438,2022-07-08,5.435,85,France,https://www.nytimes.com/2022/07/07/movies/both-sides-of-the-blade-review.html,"In the latest film from Claire Denis, Juliette Binoche plays a Parisian radio journalist in a romantic quandary.",The New York Times,"subject:Movies;persons:Denis, Claire;persons:Binoche, Juliette;persons:Lindon, Vincent;creative_works:Both Sides of the Blade (Movie);",2022-07-07T11:00:07+0000,649.0,‘Both Sides of the Blade’ Review: Who Do You Love?,,,A Bliss Doomed To Be Doused,,,,By A.O. Scott,
Fire of Love,Fire of Love,0,Documentary,en,"French, English, Portuguese, Spanish",https://films.nationalgeographic.com/fire-of-love,"A doomed love triangle between intrepid French scientists Katia and Maurice Krafft, and their beloved volcanoes.",14.618,93,0,2022-07-06,7.529,189,"Canada, United States of America",https://www.nytimes.com/2022/07/06/movies/fire-of-love-review.html,Sara Dosa’s new documentary chronicles the lives and deaths of the French scientists Katia and Maurice Krafft.,The New York Times,"subject:Documentary Films and Programs;subject:Volcanoes;creative_works:Fire of Love (Movie);subject:Content Type: Personal Profile;subject:Deaths (Fatalities);persons:Dosa, Sara;persons:Krafft, Maurice (1946-91);persons:Krafft, Katia (1942-91);",2022-07-06T11:00:06+0000,609.0,‘Fire of Love’ Review: A Volcanic Romance,critic’s pick,,A Volcanic Romance Across Continents,,,,By A.O. Scott,
Stay Prayed Up,Stay Prayed Up,0,Documentary,en,English,,"Lena Mae “Mother” Perry, the backbone of her community, cooks for crowds, tends to the needy, and boy, can she sing! After 50 years leading the dynamic, down-home gospel group The Branchettes, the octogenarian powerhouse, armed with her unwavering faith, shows no signs of slowing down. Taking us inside her loving community while following the recording of the group’s first album, this film is bursting with warmth, joy, and soul-stirring gospel music.",0.516,73,0,2021-09-01,0.0,0,United States of America,https://www.nytimes.com/2022/06/16/movies/stay-prayed-up-review.html,"A new documentary about the gospel ensemble the Branchettes and its guiding light, Lena Mae Perry, is a plain-spoken tribute.",The New York Times,"subject:Documentary Films and Programs;subject:Gospel Music;creative_works:Stay Prayed Up (Movie);subject:Content Type: Personal Profile;persons:Perry, Lena Mae;organizations:Branchettes (Music Group);persons:Anderson, DL (Filmmaker);persons:Durning, Matthew;",2022-06-16T11:00:08+0000,330.0,‘Stay Prayed Up’ Review: Spreading the Gospel of Love,,,Stay Prayed Up,,,,By Glenn Kenny,
Benediction,Benediction,0,"Drama, History, War",en,"English, French, German",,"Poet Siegfried Sassoon survived the horrors of fighting in the First World War and was decorated for his bravery, but became a vocal critic of the government's continuation of the war when he returned from service. Adored by members of the aristocracy as well as stars of London's literary and stage world, he embarked on affairs with several men as he attempted to come to terms with his homosexuality.",26.744,137,847418,2021-12-23,6.0,58,"United Kingdom, United States of America",https://www.nytimes.com/2022/06/02/movies/benediction-review.html,"Terence Davies’s latest film is a biography of Siegfried Sassoon, whose writing about World War I changed British literature.",The New York Times,"subject:Movies;persons:Davies, Terence;creative_works:Benediction (Movie);persons:Lowden, Jack (1990- );subject:Poetry and Poets;persons:Sassoon, Siegfried;",2022-06-02T11:00:06+0000,883.0,"‘Benediction’ Review: A Poet’s Life, in Love and War",,,"A Poet’s Life, In Love and War",,,,By A.O. Scott,
Dinner in America,Dinner in America,0,"Romance, Comedy, Music",en,English,https://www.dinnerinamerica.com,An on-the-lam punk rocker and a young woman obsessed with his band go on an unexpected and epic journey together through the decaying suburbs of the American Midwest.,16.923,106,0,2022-05-27,7.415,59,United States of America,https://www.nytimes.com/2022/05/26/movies/dinner-in-america-review.html,A rage-fueled rock singer on the run from the police meets and falls in love with a gullible young woman eager to escape her circumstances.,The New York Times,"subject:Movies;persons:Rehmeier, Adam;creative_works:Dinner in America (Book);",2022-05-26T11:00:04+0000,254.0,‘Dinner in America’ Review: A Punk-Rock Love Story,,,Dinner in America,,,,By Concepción de León,
In a New York Minute,In a New York Minute,0,Drama,en,English,,"In A New York Minute follows three Asian women, each at a different stage in their life as they deal with their own personal struggles. Amy is haunted by a past breakup that has manifested into an eating disorder. Angel is caught between a loveless marriage with an older American businessman and a passionate affair with Chinese filmmaker. Nina moonlights as an escort as a way of supporting herself financially. As the story unfolds, the film reveals each character’s wants and desires is reflected in the other.",3.915,102,0,2019-04-28,3.2,2,,https://www.nytimes.com/2022/05/03/movies/in-a-new-york-minute-review.html,This drama from Ximan Li teases time in telling the stories of three Chinese women living in a city that tempts promise but delivers frustration.,The New York Times,subject:Movies;creative_works:In A New York Minute (Movie);persons:Ximan Li;,2022-05-03T21:05:25+0000,299.0,‘In a New York Minute’ Review: Love or Freedom?,,,In a New York Minute,,,,By Lisa Kennedy,
Anaïs in Love,Les Amours d’Anaïs,0,"Drama, Romance, Comedy",fr,"French, English",,A young woman struggling to stay on top of everything in her life meets a married publisher and begins an affair with him.,12.462,98,41356,2021-09-15,6.25,142,France,https://www.nytimes.com/2022/04/28/movies/anais-in-love-review.html,"A restless woman discovers herself in a seductive French romance that throws out the usual dusty script about women, desire and pleasure.",The New York Times,"subject:Movies;persons:Bourgeois-Tacquet, Charline;creative_works:Anais in Love (Movie);",2022-04-28T16:18:57+0000,842.0,‘Anaïs in Love’ Review: Portrait of a Woman on the Run,Critic’s Pick,,Portrait of a Restless Heart,,,,By Manohla Dargis,
I Love America,I Love America,0,"Comedy, Romance",fr,"French, English, Spanish",,"A single woman who decides to take a chance on love again by catapulting her life from Paris to Los Angeles. From awkward dates to touching surprise encounters, she understands the journey to love is a journey towards herself.",11.545,102,0,2022-03-11,5.107,75,"United States of America, France",https://www.nytimes.com/2022/04/28/movies/i-love-america-review.html,The determinedly uplifting comedy follows a 50-year-old French filmmaker as she dates in Los Angeles.,The New York Times,"subject:Movies;persons:Marceau, Sophie;creative_works:I Love America (Movie);persons:Azuelos, Lisa;",2022-04-28T11:00:07+0000,291.0,‘I Love America’ Review: The Gauche Rituals of Modern Romance,,,I Love America,,,,By Nicolas Rapold,
See You Then,See You Then,0,Drama,en,English,https://vanishingangle.com/see-you-then,"A decade after abruptly breaking up with Naomi, Kris invites her to a dinner to catch-up on their complicated lives, relationships, and Kris' transition.",1.947,74,0,2022-04-01,3.3,5,United States of America,https://www.nytimes.com/2022/04/18/movies/see-you-then-review.html,"Former lovers reconnect, litigating the past and present, in this drama from Mari Walker.",The New York Times,"subject:Movies;creative_works:See You Then (Movie);persons:Walker, Mari;",2022-04-18T11:00:03+0000,300.0,‘See You Then’ Review: The More Things Stay the Same,,,The Persistent Melancholy of Love,,,,By Kyle Turner,
La Mami,La Mami,0,Documentary,es,Spanish,http://gadeafilms.com/la-mami,"One of the rooms inside the legendary Barba Azul Cabaret has become a shelter for the girls working there: the women's bathroom. Every night La Mami, who's in charge of the bathrooms, offers them the warmth and the advice they need to take on the challenge they face in the dance hall.",1.393,82,0,2020-01-27,6.2,4,"Mexico, Spain",https://www.nytimes.com/2022/04/07/movies/la-mami-review-tough-love.html,This documentary about the den mother of dancers at a Mexico City cabaret is vérité at its best.,The New York Times,"subject:Documentary Films and Programs;subject:Women and Girls;subject:Dancing;subject:Bars and Nightclubs;subject:Labor and Jobs;subject:Content Type: Personal Profile;glocations:Mexico City (Mexico);glocations:Mexico;creative_works:La Mami (Movie);persons:Garvin, Laura Herrero;",2022-04-07T11:00:04+0000,278.0,‘La Mami’ Review: Tough Love,Critic’s Pick,,La Mami,,,,By Beandrea July,
After Love,L'économie du couple,0,Drama,fr,French,,Marie and Boris decide to get a divorce after 15 years of marriage. Tensions rise when cash-strapped Boris must continue to live with Marie and the two children while trying to figure out how to divide the assets.,12.17,98,0,2016-06-08,6.1,115,"Belgium, France",https://www.nytimes.com/2023/01/19/movies/after-love-review.html,"In this intelligent melodrama by the director Aleem Khan, a British woman discovers her husband has been leading a double life.",The New York Times,"subject:Movies;creative_works:After Love (2020) (Movie);persons:Khan, Aleem;persons:Scanlan, Joanna (1961- );",2023-01-19T12:00:06+0000,359.0,‘After Love’ Review: The Other Woman,Critic’s Pick,,After Love,,,,By Beatrice Loayza,
After Love,L'économie du couple,0,Drama,fr,French,,Marie and Boris decide to get a divorce after 15 years of marriage. Tensions rise when cash-strapped Boris must continue to live with Marie and the two children while trying to figure out how to divide the assets.,12.17,98,0,2016-06-08,6.1,115,"Belgium, France",https://www.nytimes.com/2017/08/08/movies/after-love-review.html,"A couple break up, but remain together, frustratingly, because of the husband’s financial woes.",The New York Times,"subject:Movies;creative_works:After Love (Movie);persons:Lafosse, Joachim;persons:Bejo, Berenice;persons:Kahn, Cedric;",2017-08-08T19:17:54+0000,274.0,Review: Staying Together ‘After Love’ and Regretting Every Moment,,,After Love,,,,By Glenn Kenny,
Deep Water,Deep Water,49000000,"Drama, Mystery, Thriller",en,English,https://www.hulu.com/movie/deep-water-2c4ae82e-2c1b-41d5-a651-82189d1c8b2c,A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.,91.498,116,0,2022-03-18,5.802,1308,United States of America,https://www.nytimes.com/2022/03/17/movies/deep-water-review.html,An unhappy husband raises suspicions when his wife’s lovers begin to disappear.,The New York Times,"subject:Movies;creative_works:Deep Water (Movie);persons:Affleck, Ben;persons:Lyne, Adrian;persons:de Armas, Ana;",2022-03-17T11:00:05+0000,534.0,‘Deep Water’ Review: Love and Loathing in New Orleans,,,A Non-Erotic Non-Thriller,,,,By Jeannette Catsoulis,
Lucy and Desi,Lucy and Desi,0,Documentary,en,English,https://www.amazon.com/dp/B09QG6H8D9,Explore the unlikely partnership and enduring legacy of one of the most prolific power couples in entertainment history. Lucille Ball and Desi Arnaz risked everything to be together.,9.368,102,0,2022-01-21,7.1,37,United States of America,https://www.nytimes.com/2022/03/03/movies/lucy-and-desi-review.html,"This documentary, directed by Amy Poehler and about the dynamic duo behind “I Love Lucy,” favors the good times over the difficult ones.",The New York Times,"subject:Documentary Films and Programs;persons:Ball, Lucille;persons:ARNAZ, DESI;persons:Poehler, Amy;creative_works:Lucy and Desi (Movie);subject:Television;subject:Actors and Actresses;subject:Content Type: Personal Profile;",2022-03-03T16:06:54+0000,279.0,‘Lucy and Desi’ Review: Love in the Time of Television,,,Lucy and Desi,,,,By Natalia Winkelman,
Cyrano,Cyrano,20000000,"Drama, Romance",en,English,https://www.unitedartistsreleasing.com/cyrano/synopsis/,"A man ahead of his time, Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne, Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love, at first sight, with Christian.",41.844,124,3000000,2021-12-17,6.405,280,"Canada, United Kingdom, United States of America",https://www.nytimes.com/2022/02/23/movies/cyrano-review.html,Peter Dinklage wields pen and sword in a musical adaptation of the durable French romance.,The New York Times,"subject:Movies;creative_works:Cyrano (Movie);persons:Wright, Joe;persons:Dinklage, Peter;persons:Bennett, Haley;persons:Harrison, Kelvin Jr;persons:Berninger, Matt;persons:Besser, Carin;persons:Dessner, Aaron;persons:Schmidt, Erica (1975- );organizations:National, The (Music Group);",2022-02-24T00:36:54+0000,845.0,‘Cyrano’ Review: Who Wrote the Book of Love?,,,Who Gets to Write the Book of Love?,,,,By A.O. Scott,
The In Between,The In Between,0,"Romance, Science Fiction, Drama",en,English,https://www.netflix.com/title/81447264,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",33.247,116,0,2022-02-11,7.375,689,United States of America,https://www.nytimes.com/2022/02/11/movies/the-in-between-review.html,A teenage girl thinks that her dead boyfriend’s spirit is reaching out from the Great Beyond.,The New York Times,"persons:King, Joey;persons:Allen, Kyle (1994- );subject:Movies;persons:Posin, Arie;creative_works:The In Between (Movie);",2022-02-11T08:00:06+0000,285.0,‘The In Between’ Review: Love Never Dies,,,The In Between,,,,By Lena Wilson,
Book of Love,Book of Love,0,Drama,en,English,,"Living among fusty academics, an unusual young man gets between a high school history teacher and his wife.",7.321,83,0,2004-01-18,5.0,25,United States of America,https://www.nytimes.com/2022/02/04/movies/book-of-love-review.html,"Unbeknown to the author of an uninspired romance novel, the book takes a sharp turn into erotic territory in its Spanish-language release.",The New York Times,"subject:Movies;persons:Claflin, Sam;persons:Cal y Mayor, Analeine;creative_works:Book of Love (Movie);",2022-02-04T05:01:04+0000,269.0,‘Book of Love’ Review: Lust (Eventually) in Translation,,,Book of Love,,,,By Natalia Winkelman,
Lingui: The Sacred Bonds,Lingui : les liens sacrés,0,Drama,fr,"Arabic, French",,"On the outskirts of the capital of Chad, determined single mother Amina works tirelessly to provide for herself and her 15-year old daughter Maria. When Amina discovers Maria is pregnant and does not want a child, the two women begin to seek out an abortion, condemned by both religion and law. In the process, mother and daughter forge a connection stronger than any they’ve ever known.",5.291,88,0,2021-12-08,6.712,33,"Germany, Belgium, Chad, France",,,,,,,,,,,,,,,
The Pink Cloud,A Nuvem Rosa,0,"Drama, Science Fiction",pt,Portuguese,,"Giovana and Yago are strangers who share a spark after meeting at a party. When a deadly cloud mysteriously takes over their city, they are forced to seek shelter with only each other for company. As months pass and the planet settles into an extended quarantine, their world shrinks, and they are forced to come to terms with an accelerated timeline for their relationship. With all their other interactions governed by screens, and with the strain of isolation setting in, Giovana and Yago struggle to reinvent themselves and reconcile the differences that threaten to tear them apart.",6.728,105,0,2021-04-01,6.0,30,Brazil,https://www.nytimes.com/2022/01/13/movies/the-pink-cloud-review.html,Iuli Gerbase’s first feature film reflects a funhouse-mirror image of our present lives.,The New York Times,"subject:Movies;creative_works:The Pink Cloud (Movie);persons:Gerbase, Iuli;",2022-01-13T12:00:05+0000,316.0,‘The Pink Cloud’ Review: Love in Lockdown,,,The Pink Cloud,,,,By Claire Shaffer,
